Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0402,2,4.7uF,C23733
C10,CP_EIA-3528-15_AVX-H,1,100uF,C16133
"C11, C6, C7",0402,3,10uF,C15525
"C12, C13, C2, C8, C9",0402,5,100nF,C307331
C14,0402,1,4.2pf,C1855356
C15,0402,1,2.3pf,C2190124
C16,0402,1,0.6pf,C426333
C4,0402,1,10nF,C15195
C5,0402,1,2.2uF,C12530
CARD1,SIM-SMD_SMN-303,1,SMN-303,C266888
D1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,C5349955
"D2, D4",0603,2,Green LED,C965804
D3,D_SOD-523,1,1N5819,C5185918
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2765186
J6,CONN-SMD_2P-P2.50_HCTL_HC-XH-2ALT,1,Conn_01x02,C7429680
L1,0402,1,13nH, C2991840
L2,0402,1,5nH,
L3,0402,1,7.1nH,
LED1,0603,1,Red LED,C2286
LED2,0603,1,Blue LED,C965807
Q1,PDTC114EU115,1,"PDTC114EU,115",C135830
"R1, R2",0402,2,5K1,C25905
"R10, R11, R16, R17, R8, R9",0402,6,4.7K,C25900
"R12, R15, R19, R20",0402,4,1K,C11702
"R13, R14, R22, R23, R24, R25",0402,6,22R,C25092
"R21, R5",0402,2,10K,C25744
R3,0402,1,1.1K,C174195
R4,0402,1,1.8K,C25867
"R6, R7",0402,2,1.5K,C25867
"SW1, SW2",Tactile 3x4x2mm TS-A010,2,SW_Push,C720477
U1,IC_BQ24072RGTR,1,BQ24073RGTR,C15220
U2,SOT-23-5,1,SPX3819M5-L-3-3/TR,C9055
U3,SOT65P210X110-6N,1,TPS22919DCKR,C2149796
U4,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,C3013941
U5,LIS3DHTR,1,LIS3DHTR,C15134
U6,VSSOP-8_2.3x2mm_P0.5mm,1,TXB0102DCU,C60709
U7,SIM868,1,SIM868,C39162023
