Designator,Mid X,Mid Y,Rotation,Layer
C1,93.95,-64.06,0.0,top
C10,100.5,-41.06,0.0,top
C11,103.89,-41.2,90.0,top
C12,105.43,-41.2,90.0,top
C13,102.69,-64.42,270.0,top
C14,110.6096,-40.73038,0.0,top
C15,112.06,-41.19,270.0,top
C16,91.963266,-39.980494,90.0,top
C2,107.29,-71.9,180.0,top
C3,101.73,-67.680001,90.0,top
C4,97.51,-74.68,90.0,top
C5,101.855,-77.23,0.0,top
C6,101.855,-76.23,0.0,top
C7,110.56,-94.25,270.0,top
C8,110.57,-92.36,90.0,top
C9,95.0,-76.92,180.0,top
CARD1,93.4321,-65.64,90.0,bottom
D1,115.965,-70.375,180.0,top
D2,116.08,-67.04875,180.0,top
D3,105.6,-64.2,180.0,top
D4,116.08,-58.509947,180.0,top
J1,87.67,-66.14,270.0,top
J2,90.24,-84.57,0.0,bottom
J3,113.1,-84.57,0.0,bottom
J4,90.24,-49.79,180.0,bottom
J5,113.1,-49.79,180.0,bottom
J6,112.92005,-65.64,270.0,bottom
L1,92.53,-42.05,135.0,top
L2,107.91,-41.91,45.0,top
L3,108.59,-40.53,135.0,top
LED1,116.08,-61.35625,180.0,top
LED2,116.08,-64.2025,180.0,top
Q1,96.43,-41.36,180.0,top
R1,93.97,-65.06,180.0,top
R10,108.28,-76.95,0.0,top
R11,97.33,-76.9,180.0,top
R12,110.215,-71.830001,180.0,top
R13,93.97,-66.05,0.0,top
R14,93.97,-67.04,0.0,top
R15,103.82,-77.23,0.0,top
R16,103.85,-75.94,0.0,top
R17,106.38,-73.83,270.0,top
R19,107.94,-64.2,180.0,top
R2,93.97,-68.03,180.0,top
R20,110.215,-64.128335,180.0,top
R21,110.215,-63.120002,180.0,top
R22,101.59,-64.44,270.0,top
R23,100.49,-64.44,270.0,top
R24,99.39,-64.44,90.0,top
R25,98.29,-64.44,90.0,top
R3,103.79,-64.44,90.0,top
R4,104.76,-70.81,180.0,top
R5,106.760001,-69.420001,270.0,top
R6,110.215,-65.136668,180.0,top
R7,110.215,-66.145002,180.0,top
R8,107.78,-69.4,270.0,top
R9,107.27,-70.9,180.0,top
SW1,107.17,-79.01,0.0,top
SW2,96.17,-79.01,180.0,top
U1,104.26,-68.160001,180.0,top
U2,99.760001,-73.5375,90.0,top
U3,109.82,-69.491668,270.0,top
U4,101.67,-91.14,180.0,top
U5,103.76,-73.56975,90.0,top
U6,101.67,-79.14,0.0,top
U7,101.59,-52.93,0.0,top
